Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B206;4CSV01;4CSV01-27;;;Cam-Fixe-27;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B225;4CSV01;4CSV01-28;;;Cam-Fixe-28;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B225;4CSV01;4CSV01-29;;;Cam-Fixe-29;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B123;4CSV01;4CSV01-30;;;Cam-Fixe-30;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B270;4CSV01;4CSV01-31;;;Cam-Fixe-31;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B269;4CSV01;4CSV01-32;;;Cam-Fixe-32;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B185;4CSV01;4CSV01-33;;;Cam-Fixe-33;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B124;4CSV01;4CSV01-34;;;Cam-Fixe-34;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B130;4CSV01;4CSV01-35;;;Cam-Fixe-35;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
B131;4CSV01;4CSV01-36;;;Cam-Fixe-36;Fixed Dome, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;X
