Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
B192;4CSV02;4CSV02-01;;;Cam-Moto-01;PTZ Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
B192;4CSV02;4CSV02-02;;;Cam-Moto-02;PTZ Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
B153;4CSV02;4CSV02-03;;;Cam-Moto-03;PTZ Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
