Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
E000;4CSV03;4CSV03-01;;;Cam-WP-01;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
E000;4CSV03;4CSV03-02;;;Cam-WP-02;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
E000;4CSV03;4CSV03-03;;;Cam-WP-03;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
B123;4CSV03;4CSV03-04;;;Cam-WP-04;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
B225;4CSV03;4CSV03-05;;;Cam-WP-05;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-B1-ECC-SD-002 Rev.Z1.dwg;;;1
G345;4CSV03;4CSV03-06;;;Cam-WP-06;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;1
G323;4CSV03;4CSV03-07;;;Cam-WP-07;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;1
G484;4CSV03;4CSV03-08;;;Cam-WP-08;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;1
G43;4CSV03;4CSV03-09;;;Cam-WP-09;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;1
G18;4CSV03;4CSV03-10;;;Cam-WP-10;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;1
G433;4CSV03;4CSV03-11;;;Cam-WP-11;IP57 Cam, 24 V, 720p;OPTIMIZA;HONEYWELL;OPTIMIZA;HONEYWELL;1072-OPT-L0-ECC-SD-003 Rev.Z1.dwg;;;1
