Local;SousFamille;Code-equipement;Code-fils;PDR;designation;caractéristiques;Fournisseur;Fabriquant;Installateur;Marque;plans associés;Manuel;fiche maintenance;chargement
IF;3SME01;3SME01-70;FHC-L01-24;;RIA 70;DN 25;;;;;;;;1
IF;3SME01;3SME01-71;FHC-L01-25;;RIA 71;DN 25;;;;;;;;1
IF;3SME01;3SME01-72;FHC-L01-26;;RIA 72;DN 25;;;;;;;;1
IF;3SME01;3SME01-73;FHC-L01-27;;RIA 73;DN 25;;;;;;;;1
IF;3SME01;3SME01-74;FHC-L01-28;;RIA 74;DN 25;;;;;;;;1
IF;3SME01;3SME01-75;FHC-L01-29;;RIA 75;DN 25;;;;;;;;1
IF;3SME01;3SME01-76;FHC-L01-30;;RIA 76;DN 25;;;;;;;;1
IF;3SME01;3SME01-77;FHC-L01-31;;RIA 77;DN 25;;;;;;;;1
IF;3SME01;3SME01-78;FHC-L01-32;;RIA 78;DN 25;;;;;;;;1
IF;3SME01;3SME01-79;FHC-L01-33;;RIA 79;DN 25;;;;;;;;1
IF;3SME01;3SME01-80;FHC-L01-34;;RIA 80;DN 25;;;;;;;;1
IF;3SME01;3SME01-81;FHC-L01-35;;RIA 81;DN 25;;;;;;;;1
IF;3SME01;3SME01-82;FHC-L01-36;;RIA 82;DN 25;;;;;;;;1
IF;3SME01;3SME01-83;FHC-L01-37;;RIA 83;DN 25;;;;;;;;1
IF;3SME01;3SME01-84;FHC-L01-38;;RIA 84;DN 25;;;;;;;;1
IF;3SME01;3SME01-85;FHC-L01-39;;RIA 85;DN 25;;;;;;;;1
IF;3SME01;3SME01-86;FHC-L01-40;;RIA 86;DN 25;;;;;;;;1
IS;3SME01;3SME01-87;FHC-L02-01;;RIA 87;DN 25;;;;;;;;1
IS;3SME01;3SME01-88;FHC-L02-02;;RIA 88;DN 25;;;;;;;;1
IS;3SME01;3SME01-89;FHC-L02-03;;RIA 89;DN 25;;;;;;;;1
IS;3SME01;3SME01-90;FHC-L02-04;;RIA 90;DN 25;;;;;;;;1
IS;3SME01;3SME01-91;FHC-L02-05;;RIA 91;DN 25;;;;;;;;1
IS;3SME01;3SME01-92;FHC-L02-06;;RIA 92;DN 25;;;;;;;;1
IS;3SME01;3SME01-93;FHC-L02-07;;RIA 93;DN 25;;;;;;;;1
IS;3SME01;3SME01-94;FHC-L02-08;;RIA 94;DN 25;;;;;;;;1
IS;3SME01;3SME01-95;FHC-L02-09;;RIA 95;DN 25;;;;;;;;1
IS;3SME01;3SME01-96;FHC-L02-10;;RIA 96;DN 25;;;;;;;;1
IS;3SME01;3SME01-97;FHC-L02-11;;RIA 97;DN 25;;;;;;;;1
IS;3SME01;3SME01-98;FHC-L02-12;;RIA 98;DN 25;;;;;;;;1
IS;3SME01;3SME01-99;FHC-L02-13;;RIA 99;DN 25;;;;;;;;1
IS;3SME01;3SME01-100;FHC-L02-14;;RIA 100;DN 25;;;;;;;;1
IS;3SME01;3SME01-101;FHC-L02-15;;RIA 101;DN 25;;;;;;;;1
IS;3SME01;3SME01-102;FHC-L02-16;;RIA 102;DN 25;;;;;;;;1
IS;3SME01;3SME01-103;FHC-L02-17;;RIA 103;DN 25;;;;;;;;1
IS;3SME01;3SME01-104;FHC-L02-18;;RIA 104;DN 25;;;;;;;;1
IS;3SME01;3SME01-105;FHC-L02-19;;RIA 105;DN 25;;;;;;;;1
IS;3SME01;3SME01-106;FHC-L02-20;;RIA 106;DN 25;;;;;;;;1
IS;3SME01;3SME01-107;FHC-L02-21;;RIA 107;DN 25;;;;;;;;1
IS;3SME01;3SME01-108;FHC-L02-22;;RIA 108;DN 25;;;;;;;;1
